customer_id,age,salary_net_income,social_security_net_income,self_employed_net_income,salary_frequency,months_current_job,total_experience_months,current_bankruptcy_status,ever_bankrupt,loan_id,loan_amount,interest_rate,tenure,tenure_type,fee,recurring_payment_amount,total_due,no_of_days_since_last_payment,missed_payments,on_time_payments,penalty,current_due,current_delinquent,current_default,past_collection_success,past_delinquencies,credit_score,past_to_be_collected,past_collection_amount,collectibility_score,refinance,extended_payment_plan,settlement_plans_with_waive_off,accepted_option,promised_to_pay,promised_to_pay_status,expected_collection_amount
C1,64,1909,0,323,biweekly,63.0,121.0,False,False,1000,1201,25.97,12,monthly,100,114.71,1476.52,96,3,6,709.43,1497.69,True,True,,13,348,0,0,73.41,False,False,False,Refinance,,,1327.14
C2,74,4212,0,0,biweekly,1.0,19.0,False,False,1001,4016,14.24,23,biweekly,100,186.31,4385.13,174,12,8,2605.18,5499.83,True,True,,8,530,0,0,41.64,False,False,False,Refinance,,,805.13
C3,91,588,0,0,weekly,72.0,290.0,False,False,1002,937,27.02,7,biweekly,50,139.48,1026.36,85,6,0,872.41,1898.77,True,False,True,19,326,4471,467,36.39,True,True,True,Refinance,No,Partially kept,467.0
C4,42,0,4611,0,,,,False,False,1003,4794,29.0,6,weekly,100,814.67,4988.02,37,5,0,1845.57,6833.59,True,False,True,10,368,3908,541,28.25,False,True,True,Settlement_plans_with_waive_off,Yes,Partially kept,541.0
C5,43,4592,0,0,monthly,85.0,85.0,False,False,1004,1976,16.35,20,weekly,100,102.09,2141.8,129,18,1,1835.74,3875.45,True,True,True,10,476,3998,3885,71.97,True,False,True,Settlement_plans_with_waive_off,Yes,Partially kept,3885.0
C6,47,1468,0,0,weekly,75.0,160.0,False,False,1005,1080,16.74,11,biweekly,100,102.02,1222.22,55,3,5,391.67,1103.79,True,False,False,10,453,7644,0,59.21,True,True,False,Extended_payment_plan,No,not kept,0.0
C7,100,2817,0,0,monthly,65.0,612.0,False,False,1006,4706,27.27,9,monthly,100,584.08,5356.72,162,5,1,4295.38,9068.02,True,True,,11,596,0,0,45.14,False,False,False,Refinance,,,1145.97
C8,78,3743,0,0,monthly,75.0,139.0,False,False,1007,4781,24.45,12,monthly,100,453.13,5537.56,194,6,4,3352.54,7077.58,True,True,False,13,834,5285,0,41.53,True,True,False,Extended_payment_plan,Yes,not kept,0.0
C9,69,3840,0,3894,monthly,83.0,592.0,False,False,1008,913,26.71,18,weekly,50,53.23,1008.14,80,11,5,593.59,1335.58,True,False,True,0,497,7301,2394,89.93,False,True,False,Extended_payment_plan,No,Partially kept,2394.0
C10,27,0,2313,0,,,,False,False,1009,2240,13.83,13,biweekly,100,178.79,2424.27,10,0,11,45.76,503.34,False,False,,6,534,0,0,61.21,False,False,False,Refinance,,,925.07
C11,59,4046,0,0,weekly,47.0,55.0,False,False,1010,3139,17.24,25,biweekly,100,136.67,3516.75,97,6,1,3042.07,6422.15,True,True,,15,634,0,0,51.26,False,False,False,Refinance,,,1285.8
