Customer_ID,Age,Salary_Net_Income,Social_security_net_income,Self_employed_net_income,Salary_frequency,Months_current_job,Total_experience_months,Current_Bankruptcy_status,Ever_Bankrupt,Loan_ID,Loan_Amount,Interest_rate,Tenure,Tenure_type,Fee,Recurring_payment_amount,Total_Due,No_of_days_since_last_payment,Missed_payments,On_time_payments,Penalty,Current_due,Current_delinquent,Current_default,Past_Collection_Success,Past_delinquencies,Credit_Score,Past_to_be_collected,Past_Collection_amount,Refinance,Extended_payment_plan,Settlement_plans_with_waive_off,Accepted_option,Promised_to_pay,Promised_to_pay_status
C1,27,978,0,0,weekly,41.0,88.0,False,True,1000,2181,13.75,12,weekly,100,184.89,2318.68,20,2,6,241.87,1451.21,True,False,True,9,477,7767,3586,True,False,True,Settlement_plans_with_waive_off,Yes,Partially kept
C2,78,0,4627,0,,,,False,False,1001,3427,12.2,21,weekly,100,167.43,3616.03,105,15,4,2651.68,5597.99,True,True,True,14,593,1775,241,False,True,True,Extended_payment_plan,No,Partially kept
C3,18,0,3408,3944,,,,False,False,1002,3848,24.87,24,monthly,100,205.12,5022.88,193,6,14,1936.08,4087.28,True,True,False,18,631,7827,0,True,False,False,Refinance,No,not kept
C4,79,0,929,0,,,,False,False,1003,2178,14.47,18,monthly,100,135.33,2535.94,29,0,16,107.49,478.15,False,False,False,13,659,2620,0,False,True,True,Extended_payment_plan,Yes,not kept
C5,85,984,0,3911,monthly,23.0,290.0,False,True,1004,1943,12.44,12,weekly,100,164.45,2073.4,48,6,4,679.49,2095.09,True,False,N/A,8,401,0,0,False,False,False,N/A,N/A,N/A
C6,31,1667,0,0,biweekly,0.0,5.0,False,False,1005,4356,19.91,7,monthly,100,664.26,4749.82,186,6,1,3677.0,7762.56,True,True,False,8,736,4712,0,True,False,True,Settlement_plans_with_waive_off,Yes,not kept
C7,35,3389,0,0,biweekly,20.0,184.0,False,False,1006,4147,21.8,14,biweekly,100,315.18,4512.52,187,13,1,3777.61,7974.95,True,True,N/A,1,300,0,0,False,False,False,N/A,N/A,N/A
C8,68,1930,0,1692,weekly,49.0,513.0,False,False,1007,3696,25.87,13,biweekly,100,304.5,4058.5,160,11,0,3652.65,7711.15,True,True,False,3,464,9425,0,False,False,True,Settlement_plans_with_waive_off,Yes,not kept
C9,51,4803,0,0,monthly,74.0,105.0,False,False,1008,1670,24.44,20,monthly,100,102.49,2149.8,537,17,1,1842.58,3889.89,True,True,N/A,8,575,0,0,False,False,False,N/A,N/A,N/A
C10,55,1901,0,0,monthly,63.0,346.0,False,False,1009,2738,13.31,23,biweekly,100,126.49,3009.27,214,15,7,1911.46,4035.3,True,True,N/A,7,475,0,0,False,False,False,N/A,N/A,N/A
